Number,Question,Type,Answer,WrongAnswers,Passage,Points,Topic
289,How did God give us the Bible?,Jumble,"The Holy Spirit inspired holy men, giving them both the truth and the words to write.",,2 Peter 1:21,20,Holy Spirit
290,What do we mean when we say the Bible is infallible?,Jumble,The Bible cannot fail and has no errors.,,Psalm 119:160; 1 Thessalonians 2:13; 1 Peter 1:23,20,Holy Spirit
291,What do we mean when we say the Bible is verbally inspired?,Jumble,"God inspired each word of the Bible, not just the thoughts or ideas.",,2 Timothy 3:16,20,Holy Spirit
292,What do we mean when we say the Bible is our authoritative rule of faith and conduct?,Jumble,The Bible has the right to command us in what we believe and what we do.,,2 Timothy 3:15-17,20,Holy Spirit
293,How long will the Bible last?,QuotationQuestion,"Heaven and earth will disappear, but my words will never disappear.",,Matthew 24:35,20,Holy Spirit
294,Why is it important to memorize Bible verses?,QuotationQuestion,I have hidden your word in my heart that I might not sin against you.,,Psalm 119:11,20,Holy Spirit
295,Does the Bible claim to be inspired?,Jumble,"Yes. The words, ""and God said,"" or their equivalent, are found over 2,500 times in the Bible.",,,20,Holy Spirit
296,"What chapter of the Bible is known as the ""love chapter""?",MultipleChoice,1 Corinthians 13,1 Corinthians 16|Psalm 143|1 John 4|Romans 12|Isaiah 43,,20,Holy Spirit
297,Who wrote the first five books of the Bible?,MultipleChoice,Moses,Matthew|Mark|Luke|John|King David,,20,Holy Spirit
298,Who are the four major prophets?,MultipleChoice,"Isaiah, Jeremiah, Ezekiel, Daniel","Mattew, Mark, Luke, John|Moses, Noah, Joshua, Caleb|Obadiah, Jonah, Habakkuk, Haggai|John, Paul, George, Ringo",,20,Holy Spirit
299,Which two apostles wrote a Gospel?,MultipleChoice,Matthew and John,Mark and Luke|Mario and Luigi|Noah and Moses|Andrew and James|Judas and Matthias,,20,Holy Spirit
300,What is a parable?,Jumble,A parable is a story about familiar things which helps us understand spiritual truths.,,,20,Holy Spirit
301,What are the four major divisions of the Old Testament?,MultipleChoice,"Law, History, Poetry, Prophets","First Quarter, Second Quarter, Third Quarter,Fourth Quarter|Creation, Flood, Exodus, Babel|Pentateuch, Fourateuch, Threeateuch, Oneateuch|Matthew, Mark, Luke, John",,20,Holy Spirit
302,What wise king wrote much of the book of Proverbs?,MultipleChoice,Solomon,David|Henry|Rehoboam|Abijah|Asa,,20,Holy Spirit
303,What is the main theme of the Book of Hebrews?,Jumble,That Jesus is a better priest [mediator] between God and people than were the Old Testament priests,,Hebrews 7:11-28,20,Holy Spirit
304,Which Gospel proves that Jesus is the Messiah by showing the fulfillment of many Old Testament prophecies?,MultipleChoice,Matthew,Mark|Luke|John|Acts,,20,Holy Spirit
305,Which two Old Testament books tell the history of the Jews after their return from captivity in Babylon?,MultipleChoice,Ezra and Nehemiah,1 Timothy and 2 Timothy|1 Samuel and 2 Samuel|Genesis and Exodus|Psalms and Proverbs|Nahum and Habakkuk,,20,Holy Spirit
306,Who are the three Persons of the Trinity?,Jumble,"God the Father, God the Son, God the Holy Spirit",,Matthew 28:19; Acts 10:38; 2 Corinthians 13:14,20,Holy Spirit
307,What do we mean when we say that God is eternal?,Jumble,"God has neither beginning nor ending, but always has been and always will be.",,,20,Holy Spirit
308,What do we mean when we say that God is omnipresent?,Jumble,God is everywhere at the same time.,,,20,Holy Spirit
309,What do we mean when we say that God is omnipotent?,MultipleChoice,God is all-powerful.,God is everywhere.|God is all-wise.|God is all-knowing.|God is timeless.,,20,Holy Spirit
310,What do we mean when we say that God is omniscient?,Jumble,God is all-wise and all-knowing.,,,20,Holy Spirit
311,What part did God the Father have in creation?,Jumble,God the Father gave the commands that caused the visible world to be created out of nothing.,,Hebrews 11:3,20,Holy Spirit
312,What does the Bible declare is the foundation of wisdom?,MultipleChoice,Fear of [respect for] God,Fear of the World|Fear of Spiders|Fear of Death|Fear of Everything,Proverbs 9:10,20,Holy Spirit
313,What kind of worship does God desire?,Jumble,God desires us to worship in spirit and in truth.,,John 4:24,20,Holy Spirit
314,Has Jesus always been God?,QuotationQuestion,"In the beginning the Word already existed. The Word was with God, and the Word was God.",,John 1:1,20,Holy Spirit
315,What is Jesus' title of divinity?,MultipleChoice,Son of God,Son of Man|The Healer|The Candy Maker|Hot Dog Eating Champion,,20,Holy Spirit
316,What is Jesus' title of humanity?,MultipleChoice,Son of Man,Son of God|The Healer|The Humanitarian|Pie Eating Champion,,20,Holy Spirit
317,Quote the verse that says Jesus is always the same?,QuotationQuestion,"Jesus Christ is the same yesterday ,today and forever.",,Hebrews 13:8,20,Holy Spirit
318,What part did Jesus have in creation?,QuotationQuestion,"God created everything through him, and nothing was created except through him. The Word gave life to everything that was created, and his life brought light to everyone.",,John 1:3-4,20,Holy Spirit
319,Over how many different Old Testament prophecies were fulfilled by the life and death of Jesus?,MultipleChoice,[Over] 300,"[Under] 10|[Over] 30,300|12|40|7",,20,Holy Spirit
320,What was God's first promise of a Savior?,Jumble,God told the serpent that one of Eve's descendants would defeat him.,,Genesis 3:15,20,Holy Spirit
